Country Name,MM-YYYY,Number of Hits,Sentiment Score (-1 to 1),Magnitude,Month's Headlines
Bolivia,11-2018,10,0.0,1.1,"['It’s Dinnertime in the Amazon. Look at What’s on the Chef’s Menu.', 'Can Latin American Democracy Withstand the Populist Assault? ', 'The Secret to That Bright-Red Drink? Little Bugs ', 'In Fiji, a ‘Reluctant Swimmer’ Jumps In', 'Some Hispanics With Jewish Roots Pursue an Exit Strategy: Emigrate to Spain', 'Crossing Paths With Meghan and Harry, and Missing the Plane to Paradise ', 'What’s ‘Quintessentially Korean’? The Monk? The Waterpark? Both? ', 'As Brazil’s Far Right Leader Threatens the Amazon, One Tribe Pushes Back', 'Where Will Science Take Us? To the Stars ', 'In China’s Land of Buddhas and Fortresses, Kindness Prevails ']"
Bolivia,12-2018,14,0.0,0.5,"['In Bolivia, Morales’s Indigenous Base Backtracks on Support', 'The Best Advice During a Year on the Road (So Far)', 'A Galvanizing Young Mezzo: The Week in Classical Music', 'Illegal Mining, ‘Worse Than at Any Other Time,’ Threatens Amazon, Study Finds', 'Being There: Our Favorite Dispatches From Every Corner of the World', 'Want to Name a New Frog? A Whiskered Mouse? An Orchid? Be the Highest Bidder', 'How to Move 2.8 Million Dead Fish', 'Is There an Optimal Diet for Humans?', 'Brazil’s Violent Drug Trade Overruns Paraguay: ‘Scenes You Only See in Movies’', 'Adventures in ‘the Most Organized City’ in India ', 'Facing the Future in Laos and the Cambodian Coast ', 'Japan Offers Lessons in Eating, Walking and Bridging the Distance', 'In Bhutan, Prayer Flags and Birds From Heaven', 'Corrections: December 14, 2018']"
Bolivia,01-2019,12,-0.1,1.8,"['Romeo the Frog Finds His Juliet. Their Courtship May Save a Species.', 'Bolsonaro vs. Maduro: The Next Clash in Latin America?', 'Maduro Sounds Conciliatory but Warns: U.S. Intervention Would Be Worse Than Vietnam', 'Venezuela Is in Crisis. So How Did Maduro Secure a Second Term?', 'Bolsonaro Pulls Brazil From U.N. Migration Accord', 'Review: In ‘The Passage,’ the Bloodsuckers Are Vampire-Adjacent', 'Echoes of the Past in Venezuela Crisis, but Heard More Lightly', 'For the Kremlin, Venezuela Is Not the Next Syria', 'Nancy Pelosi, North Korea, Winter Storm: Your Friday Evening Briefing', '1 Woman, 12 Months, 52 Places', 'An I.T. Guy’s Testimony Leads to a Week of Cyber Spy Intrigue in El Chapo Trial', 'Russia Warns U.S. Not to Intervene in Venezuela as Military Backs Maduro']"
Bolivia,02-2019,8,0.0,0.2,"['Austin Museum Expands Latin American Collection', 'The U.S. Can Help Solve the Venezuelan Crisis by Not Being a Bully', 'The Most Talked About Non-Topic at the Vatican? Homosexuality', 'Pope Opens Meeting on Clerical Sex Abuse Under Great Pressure From Victims for Change', 'A Pop Culture Shock After the Trip of a Lifetime', 'Why Can’t Rich People Save Winter?', 'Viewing the Northern Lights: ‘It’s Almost Like Heavenly Visual Music’', 'Corrections: February 13, 2019']"
Bolivia,03-2019,9,0.0,1.5,"['Adventurous. Alone. Attacked.', 'Miriam Toews’s Mennonite Conscience', 'Cody Weddle, a U.S. Journalist, Is Arrested in Venezuela and Will Be Deported', 'Until Honeymoon We Do Part', 'Traveling the World, While Looking Over Her Shoulder', 'Latin America Claims to Love Its Mothers. Why Does It Abuse Them?', 'Mexican Call for Conquest Apology Ruffles Feathers in Spain. And Mexico.', 'Ardyn, Serving Farm-to-Table Fare, Opens in Greenwich Village', 'In Chile, Homes as Extreme as the Landscape Itself']"
Bolivia,04-2019,14,0.0,0.1,"['Smorgasburg Opens Latest Outpost, in Financial District', 'Romeo, Meet Juliet. Now Go Save Your Species.', 'In ‘Women Talking,’ Miriam Toews Ponders Punishment and Justice After Horrifying Crimes', 'Split', 'In Paraguay, Long a Haven for Corruption, Popular Protests Get Results', 'A Respite From Record Losses, but Tropical Forests Are Still in Trouble', 'Battle for .amazon Domain Pits Retailer Against South American Nations', 'What Is Happening in Venezuela and Why It Matters', 'Letter of Recommendation: Personality Cafe', '8 New Books We Recommend This Week', '‘Women Talking,’ by Miriam Toews, Is a Mennonite #MeToo Novel', 'Made in China, Exported to the World: The Surveillance State', 'Venezuela Crisis: Guaidó Calls for Uprising as Clashes Erupt', 'Your Questions About Food and Climate Change, Answered']"
Bolivia,05-2019,18,-0.2,1.2,"['Running in Bolivia', 'A Rare Taste of Bolivia', 'At Puerta del Sol, Beef and Potatoes Take Cues From Bolivia', 'Dance Parade: Where 100 Styles Fit Into 20 City Blocks', 'Russia and Cuba Could End the Venezuelan Catastrophe. Seriously.', 'News Quiz: Test Your Knowledge of the Week’s Headlines', 'Michael Pollan: Not So Fast on Psychedelic Mushrooms', 'After a Runner’s Fracture Heals, Fighting the Fear of Re-injury', 'Senate’s Churn of Confirmations Brings Complaints of a ‘Legislative Graveyard’', 'Finding a Way Back to a Flawed and Dangerous Mother', 'Their Islands Are Being Eroded. So Are Their Human Rights, They Say.', 'Dad’s in Prison, Mom Was on Parole. Their Son Is Now Running for D.A.', 'Trade, Boeing, Orban: Your Wednesday Briefing', 'Iran, Swine Fever, Gen X: Your Wednesday Briefing', 'Rent Here and Eat Well', '36 Hours in Melbourne', 'Fresh Narratives of Familiar Wars', 'A Journey Into Greece’s Land of a Thousand Stories']"
Bolivia,06-2019,5,0.0,0.6,"['Vatican Opens Door to Limited Ordination of Married Men as Priests', 'Marta Harnecker and the Death of the Latin American Hard Left', 'Spying on Children Won’t Keep Them Safe', 'Goodbye, Gingham. Hello, Billows.', 'The United States Should Welcome a Strong, United Latin America']"
Bolivia,07-2019,9,-0.1,0.2,"['The Glamping Sites Pitching New Luxury', 'Bare Skin Is the Canvas for Donna Huanca', 'Watch the 2019 Solar Eclipse as Seen in Chile and Argentina', 'Brazil’s President May Appoint Son, Friend to the Trumps, as Ambassador to U.S.', '‘Filters Off!’ Chasing the Total Solar Eclipse in Chile', 'Why the Brazil Prison Massacre Was a ‘Tragedy Foretold’', 'Machu Picchu Is in Unnecessary Danger', 'Donald Trump, China, Prime Day: Your Monday Briefing', 'The Far Right Says There’s Nothing Dirtier Than Internationalism — But They Depend on It']"
Bolivia,08-2019,20,0.0,0.7,"['As Amazon Burns, Fires in Next-Door Bolivia Also Wreak Havoc', 'Where Is the Amazon Rainforest Vanishing? Not Just in Brazil', 'What Satellite Imagery Tells Us About the Amazon Rain Forest Fires', 'Shopping for Hammocks', 'Like a Burglar or a Ballerina', 'A Sculptor Who Makes Ceramics Inspired by Volcanoes', 'Ex-FARC’s Leader Call to Arms Is Bad News for Colombians', 'The Amazon Is on Fire. So Is Central Africa.', 'Who Owns the Amazon?', 'Dispute Over Amazon Gets Personal for Bolsonaro and Macron', 'FIFA Claims Deep Pool of Bidders for 2023 Women’s World Cup', 'G7, Amazon Fires, Million-Dollar Drugs: Your Monday Briefing', 'Dora the Explorer and the Quest for Authentic Indigenous Representations', 'A History of Latin America Embodied in ‘Silver, Sword, and Stone’', 'Evolution Gave Us Heart Disease. We’re Not Stuck With It.', 'G7, Amazon, Johnson & Johnson: Your Monday Evening Briefing', 'Amid Growing Soccer Wealth Gap, Is 92 Teams Too Many?', 'Hong Kong, G7, Kashmir: Your Monday Briefing', 'Sevilla and the Science of Soccer’s Summer Transfer Window', '12 Instagram Accounts That Reveal Life as a Times Journalist']"
